                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5854,                 3.2818,                 1.4706,                0.55606,                0.61447,                0.50088,                0.19827,                 2.0494,                  7.168,                 1.1111,             0.00027717,             0.00027717,             0.00027717
                      2,                 2.2103,                 1.6528,                 1.2155,                0.70733,                0.64771,                0.66522,                0.27632,                 1.9371,                 1.3186,                 1.0629,             0.00052737,             0.00052737,             0.00052737
                      3,                 2.1476,                 1.5325,                 1.1813,                0.75465,                0.73706,                0.75189,                 0.3144,                 1.9139,                 1.2722,                 1.0606,             0.00075008,             0.00075008,             0.00075008
                      4,                 2.0644,                 1.4209,                 1.1518,                0.75439,                0.73968,                0.76909,                0.34063,                 1.8497,                 1.1182,                 1.0348,              0.0007093,              0.0007093,              0.0007093
                      5,                 2.0046,                 1.3218,                  1.122,                0.79086,                0.77871,                0.80208,                 0.3538,                  1.828,                 1.0678,                 1.0296,             0.00066807,             0.00066807,             0.00066807
                      6,                 1.9478,                 1.2496,                 1.1023,                0.81205,                0.81001,                0.82711,                0.37972,                 1.7286,                0.98288,                0.99394,             0.00062683,             0.00062683,             0.00062683
                      7,                 1.8992,                 1.1829,                 1.0803,                0.82555,                0.82302,                0.84485,                0.39776,                  1.702,                0.92843,                0.98793,              0.0005856,              0.0005856,              0.0005856
                      8,                 1.8659,                 1.1436,                 1.0756,                  0.835,                0.82635,                0.85231,                 0.3958,                 1.7096,                0.91461,                0.98543,             0.00054437,             0.00054437,             0.00054437
                      9,                 1.8319,                 1.0992,                 1.0604,                0.83585,                0.84614,                0.86003,                 0.4082,                 1.6756,                0.87601,                0.97448,             0.00050313,             0.00050313,             0.00050313
                     10,                 1.7969,                 1.0706,                 1.0469,                0.86485,                0.84586,                0.87895,                0.43386,                 1.6243,                0.84615,                0.96815,              0.0004619,              0.0004619,              0.0004619
                     11,                 1.7524,                0.95793,                 1.0436,                0.88479,                0.85675,                0.90412,                0.45221,                 1.5963,                0.82021,                0.95351,             0.00042066,             0.00042066,             0.00042066
                     12,                  1.714,                 0.9256,                 1.0289,                0.87445,                0.86921,                0.89983,                0.44728,                  1.615,                0.80529,                0.96295,             0.00037943,             0.00037943,             0.00037943
                     13,                 1.6891,                 0.8971,                 1.0224,                0.88402,                0.86941,                0.90837,                0.45675,                 1.5859,                0.79397,                 0.9508,              0.0003382,              0.0003382,              0.0003382
                     14,                 1.6509,                0.86549,                 1.0068,                0.88891,                0.87344,                 0.9071,                0.47656,                 1.5296,                0.77557,                0.94468,             0.00029696,             0.00029696,             0.00029696
                     15,                 1.6175,                0.83918,                0.99928,                0.89045,                0.89256,                0.90368,                 0.4708,                 1.5388,                0.75857,                0.94074,             0.00025573,             0.00025573,             0.00025573
                     16,                 1.5946,                0.81408,                0.99288,                0.89464,                0.90677,                0.92317,                0.48734,                 1.5119,                0.73953,                0.93468,              0.0002145,              0.0002145,              0.0002145
                     17,                 1.5597,                0.79033,                0.98398,                0.90062,                0.90777,                0.92569,                0.49087,                 1.4875,                0.72228,                0.92935,             0.00017326,             0.00017326,             0.00017326
                     18,                 1.5283,                0.77152,                0.97142,                0.90294,                0.91154,                0.93176,                0.49605,                   1.49,                0.70714,                0.92944,             0.00013203,             0.00013203,             0.00013203
                     19,                 1.4914,                0.74391,                0.96151,                0.91541,                0.91292,                0.93744,                0.50935,                 1.4607,                0.68814,                0.92365,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                 1.4642,                0.73046,                0.95739,                0.91219,                0.91844,                0.93435,                 0.5178,                 1.4342,                0.67587,                0.91791,             4.9564e-05,             4.9564e-05,             4.9564e-05
